3: [4.1|6.0|8.0] [4, 9, 6, 8, 5, 7, 6, 9, 6, 9, 2, 4, 4, 5, 6, 7, 8, 8, 7, 9]
17: [4.6|6.4|8.4] [6, 8, 7, 6, 9, 10, 8, 7, 6, 7, 8, 4, 8, 7, 6, 5, 5, 5, 6, 6]
20: [4.6|6.5|8.4] [6, 5, 7, 6, 7, 7, 3, 9, 6, 8, 9, 3, 10, 7, 6, 9, 5, 9, 6, 5]
7: [5.0|6.6|8.5] [6, 8, 5, 8, 8, 8, 7, 9, 9, 6, 8, 7, 8, 6, 10, 9, 6, 7, 5, 8]
2: [4.5|6.9|9.3] [7, 7, 6, 8, 6, 10, 9, 7, 9, 9, 6, 5, 8, 10, 7, 9, 9, 6, 5, 8]
4: [5.4|7.1|8.9] [5, 8, 4, 10, 5, 8, 6, 9, 7, 9, 10, 4, 8, 9, 7, 9, 10, 8, 7, 7]
16: [5.4|7.1|9.0] [6, 9, 6, 9, 5, 9, 7, 9, 7, 8, 6, 4, 6, 7, 8, 8, 6, 7, 9, 8]
6: [5.2|7.2|9.2] [7, 10, 9, 7, 7, 8, 7, 10, 9, 8, 8, 6, 8, 8, 9, 7, 7, 7, 6, 8]
19: [5.4|7.2|9.0] [5, 10, 10, 8, 6, 9, 10, 9, 5, 8, 9, 5, 8, 10, 5, 9, 6, 9, 5, 8]
9: [5.5|7.2|9.1] [5, 8, 7, 7, 8, 9, 7, 8, 6, 9, 5, 4, 9, 7, 9, 8, 9, 7, 5, 7]
1: [5.4|7.3|9.2] [4, 7, 7, 6, 8, 7, 7, 9, 6, 10, 7, 6, 6, 8, 9, 6, 6, 5, 7, 10]
5: [5.5|7.3|9.0] [5, 9, 8, 8, 8, 8, 7, 8, 8, 10, 9, 5, 8, 6, 8, 7, 7, 8, 7, 5]
15: [5.5|7.3|9.2] [6, 9, 9, 6, 6, 6, 10, 9, 6, 8, 10, 7, 6, 5, 9, 5, 5, 7, 9, 4]
18: [5.1|7.4|9.4] [5, 7, 9, 8, 7, 10, 8, 7, 7, 9, 9, 2, 7, 8, 9, 7, 4, 8, 4, 5]
10: [5.2|7.4|9.6] [7, 9, 8, 9, 9, 8, 9, 7, 8, 9, 7, 4, 7, 9, 9, 5, 7, 6, 8, 8]
14: [5.7|7.7|9.7] [8, 9, 7, 7, 9, 8, 6, 8, 7, 9, 8, 3, 7, 8, 7, 8, 6, 7, 9, 7]
8: [5.8|7.7|9.5] [8, 6, 9, 8, 6, 9, 7, 9, 8, 9, 6, 5, 6, 8, 7, 9, 8, 6, 8, 8]
11: [5.8|7.8|9.7] [6, 7, 7, 8, 8, 9, 7, 8, 8, 9, 8, 3, 6, 8, 9, 10, 7, 3, 7, 9]
13: [5.9|7.8|9.8] [7, 9, 6, 9, 7, 6, 7, 9, 3, 10, 8, 5, 9, 7, 7, 10, 7, 7, 9, 6]
12: [6.3|8.2|10.0] [6, 9, 8, 10, 9, 7, 8, 8, 6, 8, 8, 5, 7, 8, 6, 7, 4, 7, 8, 9]
