Date,10_9,7_8,7_2,10_10,14_9,15_1,15_7,15_8,2_9,3_2,8_8,13_9,1_1,2_6,5_10,6_6,6_8,9_2,10_6,10_7
20240128,2,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
20240130,1,1,0,0,1,2,1,0,0,0,2,1,0,0,0,2,1,1,1,1
20240201,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,2,0,1,1,2
20240204,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0
20240206,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
20240218,0,0,0,0,2,1,0,1,1,0,0,1,1,1,0,1,0,1,0,3
20240220,1,0,1,1,0,2,0,0,0,0,0,2,1,1,1,2,1,0,0,1
20240222,0,0,2,1,1,1,0,1,0,2,1,0,0,0,2,3,3,0,3,1
20240225,1,0,2,1,0,0,0,2,2,0,0,0,0,1,0,0,0,0,1,1
20240227,0,0,1,0,0,2,0,0,2,1,0,0,2,1,0,0,0,0,1,0
20240229,3,1,0,0,0,0,0,0,1,0,2,0,1,0,2,0,2,1,0,0
20240303,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0
20240305,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
20240307,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,2,0,1,3,0
20240310,1,0,1,1,0,0,2,1,1,0,0,1,2,2,2,1,1,0,0,1
20240312,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,2,0,2,0,0
20240314,0,0,0,1,0,0,1,1,2,1,1,0,0,1,0,2,1,1,2,1
20240317,2,0,0,0,1,2,0,2,0,2,0,0,1,2,0,0,2,0,2,1
20240319,0,1,0,0,1,0,1,2,0,0,0,2,0,0,1,0,1,1,0,1
20240321,1,1,0,0,0,0,2,1,2,1,1,0,0,1,1,1,0,0,2,0
20240324,0,0,0,0,1,0,2,2,0,0,2,1,0,2,0,1,1,0,0,0
20240326,2,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,2
20240328,2,0,1,0,0,1,3,2,0,1,0,2,1,0,1,0,1,0,1,0
20240331,0,0,1,1,0,0,0,0,2,0,0,1,1,0,1,0,0,1,2,0
20240402,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0
20240404,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
20240407,0,0,0,1,2,2,1,0,1,0,0,0,0,1,1,1,0,1,1,0
20240409,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0
20240411,1,1,0,0,1,1,0,2,2,2,0,2,1,2,3,0,0,1,0,2
20240414,0,1,2,0,0,0,0,0,0,2,0,0,2,0,2,0,0,1,2,0
20240416,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
20240418,0,2,0,0,0,1,2,1,1,1,1,0,0,2,1,0,0,1,0,1
20240421,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,2,1,0,0,0
