8: [3.7|5.8|7.8] [8, 6, 8, 10, 6, 6, 6, 6, 7, 8, 4, 6, 9, 3, 6, 8, 9, 7, 9, 6]
17: [4.4|6.3|8.2] [7, 4, 4, 7, 5, 7, 5, 7, 4, 8, 4, 7, 7, 4, 9, 6, 8, 7, 9, 7]
2: [4.3|6.5|8.7] [9, 6, 8, 5, 7, 5, 5, 6, 6, 9, 3, 6, 8, 4, 6, 9, 7, 4, 8, 2]
6: [4.5|6.6|8.4] [9, 6, 5, 7, 7, 5, 3, 4, 4, 6, 8, 6, 8, 4, 9, 8, 6, 7, 8, 4]
14: [4.5|6.6|8.8] [8, 7, 6, 8, 8, 7, 6, 9, 9, 9, 8, 8, 8, 5, 8, 6, 9, 8, 10, 4]
13: [4.6|6.7|8.9] [9, 6, 7, 10, 9, 8, 4, 8, 5, 7, 7, 10, 7, 4, 9, 9, 5, 7, 5, 5]
12: [4.8|6.7|8.6] [10, 7, 7, 6, 4, 8, 6, 9, 5, 8, 7, 8, 6, 5, 8, 7, 7, 6, 9, 4]
5: [5.0|6.8|8.7] [8, 5, 7, 9, 10, 9, 7, 7, 6, 8, 9, 6, 8, 6, 10, 8, 6, 6, 7, 5]
11: [5.0|6.8|8.8] [7, 8, 8, 10, 4, 10, 3, 8, 6, 7, 8, 8, 8, 6, 10, 7, 9, 10, 7, 8]
15: [5.0|6.8|8.4] [9, 4, 7, 8, 7, 7, 6, 7, 4, 7, 4, 7, 9, 5, 8, 6, 8, 5, 5, 9]
10: [4.9|7.0|8.9] [7, 9, 5, 10, 8, 8, 8, 8, 5, 8, 6, 8, 6, 1, 7, 9, 10, 7, 6, 6]
16: [5.2|7.1|9.1] [10, 8, 8, 6, 5, 7, 6, 9, 4, 9, 8, 7, 6, 5, 9, 8, 6, 7, 7, 5]
9: [5.4|7.1|8.7] [8, 10, 6, 5, 9, 10, 7, 9, 4, 7, 7, 8, 5, 8, 9, 6, 7, 6, 8, 6]
20: [5.3|7.2|9.1] [9, 7, 6, 8, 5, 5, 8, 7, 6, 8, 6, 10, 8, 6, 6, 8, 8, 7, 7, 7]
4: [5.4|7.3|9.0] [6, 6, 8, 6, 10, 8, 5, 7, 3, 9, 5, 10, 8, 7, 8, 8, 7, 8, 7, 5]
18: [5.5|7.5|9.5] [8, 10, 5, 9, 6, 8, 7, 9, 7, 8, 6, 10, 8, 4, 9, 7, 10, 7, 5, 7]
19: [5.8|7.5|9.4] [6, 6, 9, 6, 8, 6, 7, 9, 6, 8, 8, 10, 10, 6, 8, 7, 8, 7, 7, 7]
7: [5.5|7.6|9.7] [8, 5, 7, 8, 5, 8, 5, 7, 5, 7, 7, 8, 8, 5, 9, 9, 7, 7, 6, 8]
3: [6.0|8.0|9.8] [7, 7, 6, 7, 8, 10, 4, 8, 8, 9, 9, 10, 8, 9, 10, 6, 10, 8, 7, 7]
1: [6.0|8.1|9.9] [9, 7, 6, 7, 8, 8, 9, 10, 5, 9, 6, 9, 9, 6, 10, 6, 7, 9, 7, 6]
