10: [4.2|6.4|8.4] [10, 8, 7, 9, 8, 6, 4, 7, 5, 6, 9, 8, 9, 7, 6, 10, 6, 9, 6, 7]
1: [4.9|6.5|8.3] [7, 8, 7, 7, 10, 8, 7, 7, 8, 6, 7, 5, 9, 8, 6, 8, 7, 8, 2, 4]
13: [4.4|6.6|8.6] [9, 7, 8, 8, 10, 5, 4, 3, 7, 4, 10, 7, 8, 6, 6, 8, 7, 9, 4, 6]
14: [4.5|6.7|9.0] [10, 9, 9, 8, 8, 9, 3, 8, 3, 7, 6, 10, 8, 9, 7, 4, 7, 8, 5, 5]
3: [4.6|6.7|8.7] [8, 8, 10, 8, 9, 6, 4, 7, 6, 7, 6, 5, 10, 8, 5, 8, 8, 9, 5, 4]
7: [4.7|6.7|8.8] [9, 7, 6, 7, 9, 8, 6, 7, 7, 8, 5, 5, 10, 6, 4, 7, 6, 10, 3, 7]
18: [4.8|6.7|8.6] [8, 9, 9, 9, 9, 10, 5, 10, 4, 6, 7, 7, 8, 7, 6, 7, 10, 4, 5, 5]
16: [4.8|6.8|8.9] [8, 5, 8, 9, 10, 10, 5, 7, 2, 5, 7, 4, 7, 5, 7, 6, 8, 9, 5, 5]
15: [5.0|6.8|8.7] [9, 5, 7, 7, 7, 7, 8, 7, 5, 8, 7, 9, 7, 8, 7, 8, 8, 9, 5, 4]
17: [4.7|6.9|9.0] [7, 9, 6, 10, 7, 7, 6, 9, 5, 5, 10, 6, 9, 7, 6, 6, 4, 9, 4, 7]
6: [5.0|6.9|8.9] [7, 6, 9, 4, 8, 7, 4, 6, 5, 9, 7, 5, 8, 8, 7, 6, 6, 10, 5, 8]
11: [5.1|6.9|8.8] [6, 7, 8, 9, 9, 6, 5, 7, 8, 9, 9, 6, 7, 5, 7, 7, 6, 7, 4, 6]
5: [4.9|7.0|9.3] [6, 7, 6, 8, 6, 8, 6, 6, 4, 5, 8, 9, 10, 8, 8, 7, 8, 9, 4, 5]
20: [5.1|7.0|8.9] [8, 9, 6, 6, 6, 9, 5, 7, 5, 6, 9, 7, 10, 7, 8, 8, 8, 6, 5, 6]
9: [5.1|7.4|9.5] [8, 8, 6, 8, 9, 7, 8, 8, 6, 8, 8, 6, 9, 6, 4, 7, 7, 8, 6, 8]
4: [5.3|7.4|9.4] [10, 6, 7, 6, 10, 6, 8, 10, 8, 7, 8, 8, 8, 8, 4, 7, 6, 7, 4, 6]
12: [5.5|7.4|9.0] [7, 8, 9, 7, 9, 8, 4, 7, 6, 7, 8, 9, 9, 10, 7, 9, 9, 7, 5, 3]
8: [5.5|7.5|9.4] [8, 5, 9, 10, 9, 6, 5, 10, 4, 7, 8, 7, 9, 6, 4, 10, 10, 8, 6, 6]
19: [6.3|8.1|10.0] [9, 7, 7, 10, 10, 9, 8, 5, 7, 3, 8, 7, 10, 7, 6, 6, 10, 6, 5, 8]
2: [6.2|8.2|10.0] [6, 9, 5, 9, 10, 9, 6, 9, 9, 6, 10, 7, 8, 9, 7, 6, 8, 10, 6, 8]
