30
red1
more
15_9___1__, 19, 0, [-1.7, 0.6, 2.7], [0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 2, 0, 0, 1, 0, 0, 4, 9, 3, 1, 0, 1, 1, 0, 0, 1, 5, 2, 0, 6, 2, 3, 0, 1, 0, 0, 2, 3] (1, 9)
19_1___1__, 19, 0, [-0.2, 2.0, 4.2], [0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 4, 0, 1, 0, 0, 1, 0, 9, 3, 2, 0, 0, 0, 3, 0, 1, 3, 0, 0, 2, 0, 6, 2, 0, 2, 0, 1] (1, 5)
1_1___1__, 18, 0, [-1.5, 1.1, 3.3], [0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 5, 0, 1, 0, 0, 1, 3, 6, 3, 2, 0, 0, 3, 0, 0, 1, 5, 2, 0, 6, 2, 3, 0, 1, 0, 0, 0, 5] (1, 6)
9_1___1__, 18, 0, [-0.6, 1.4, 3.2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 6, 0, 1, 0, 0, 1, 4, 7, 1, 2, 1, 3, 0, 0, 1, 5, 2, 0, 6, 2, 0, 0, 1, 0, 1, 0, 1, 5] (1, 5)
12_9___1__, 18, 0, [-1.7, 1.1, 3.8], [0, 2, 0, 0, 0, 0, 1, 2, 1, 0, 0, 3, 0, 0, 0, 0, 0, 13, 1, 1, 3, 0, 1, 1, 0, 0, 1, 5, 0, 2, 1, 1, 2, 1, 0, 1, 1, 0, 1, 0] (1, 9)
13_9___1__, 18, 0, [-1.0, 1.4, 3.6], [1, 1, 1, 0, 0, 1, 2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 12, 1, 1, 3, 0, 1, 1, 0, 0, 1, 5, 3, 3, 0, 1, 2, 1, 1, 0, 1, 0, 1, 1] (1, 6)
14_1___1__, 18, 0, [-0.5, 1.7, 4.2], [0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 3, 0, 1, 0, 0, 6, 5, 1, 1, 2, 0, 0, 0, 0, 2, 0, 1, 8, 0, 6, 2, 3, 0, 1, 2, 5, 1, 2] (1, 4)
2_7___1__, 17, 0, [-0.6, 1.2, 3.0], [0, 2, 0, 0, 0, 0, 2, 1, 0, 0, 1, 4, 0, 0, 1, 0, 4, 1, 7, 4, 1, 1, 1, 0, 0, 1, 3, 1, 2, 0, 4, 1, 2, 3, 0, 1, 0, 1, 1, 3] (1, 3)
3_1___1__, 17, 0, [-0.7, 1.8, 4.4], [1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 4, 0, 1, 0, 2, 0, 3, 5, 1, 1, 4, 3, 0, 0, 1, 3, 4, 0, 3, 2, 2, 0, 0, 1, 0, 1, 0, 7] (1, 7)
10_8___1__, 17, 0, [-0.2, 1.4, 3.2], [2, 0, 0, 0, 0, 0, 2, 2, 0, 1, 0, 2, 0, 0, 1, 0, 4, 3, 4, 1, 1, 1, 4, 2, 0, 0, 0, 4, 0, 3, 4, 1, 2, 3, 0, 1, 0, 0, 0, 1] (1, 14)
