1: [4.3|6.3|8.2] [6, 8, 7, 8, 2, 4, 7, 7, 6, 9, 5, 8, 10, 5, 8, 9, 6, 7, 7, 8]
9: [4.4|6.5|8.6] [4, 7, 7, 8, 6, 8, 9, 8, 6, 9, 6, 10, 8, 8, 10, 5, 7, 9, 6, 9]
18: [4.4|6.5|8.4] [6, 7, 10, 4, 5, 5, 7, 7, 8, 8, 8, 8, 8, 8, 7, 10, 8, 5, 9, 4]
7: [4.8|6.7|8.7] [4, 7, 6, 10, 3, 7, 8, 9, 10, 9, 5, 10, 9, 6, 8, 6, 8, 9, 6, 6]
13: [4.8|6.7|8.8] [6, 8, 7, 9, 4, 6, 8, 8, 6, 9, 5, 9, 7, 7, 8, 6, 7, 7, 9, 5]
20: [4.5|6.8|8.8] [8, 8, 8, 6, 5, 6, 8, 9, 6, 10, 6, 8, 10, 7, 7, 8, 7, 10, 5, 6]
4: [4.6|6.8|9.0] [4, 7, 6, 7, 4, 6, 8, 7, 9, 10, 4, 10, 6, 5, 8, 8, 6, 8, 6, 7]
5: [4.7|6.8|9.0] [8, 7, 8, 9, 4, 5, 7, 7, 5, 9, 4, 9, 9, 8, 7, 8, 7, 8, 9, 7]
17: [4.7|6.8|8.8] [6, 6, 4, 9, 4, 7, 8, 5, 9, 7, 6, 10, 9, 7, 10, 6, 6, 7, 6, 6]
15: [4.8|6.8|8.7] [7, 8, 8, 9, 5, 4, 7, 8, 8, 7, 5, 10, 6, 4, 8, 7, 8, 8, 8, 3]
12: [4.9|6.8|8.9] [7, 9, 9, 7, 5, 3, 7, 6, 6, 7, 8, 9, 9, 6, 8, 9, 9, 4, 6, 7]
11: [4.8|6.9|8.9] [7, 7, 6, 7, 4, 6, 8, 6, 7, 8, 4, 8, 10, 8, 7, 8, 7, 6, 10, 7]
10: [4.7|7.0|9.1] [6, 10, 6, 9, 6, 7, 6, 7, 3, 8, 8, 9, 6, 6, 8, 5, 8, 9, 4, 7]
8: [4.9|7.0|8.9] [4, 10, 10, 8, 6, 6, 9, 6, 9, 8, 9, 10, 7, 8, 9, 7, 8, 6, 8, 9]
3: [5.0|7.0|8.9] [5, 8, 8, 9, 5, 4, 8, 8, 6, 4, 6, 8, 9, 7, 9, 9, 8, 7, 8, 8]
2: [5.1|7.1|9.2] [7, 6, 8, 10, 6, 8, 8, 8, 6, 7, 6, 10, 9, 8, 8, 7, 6, 8, 8, 6]
19: [5.1|7.1|9.0] [6, 6, 10, 6, 5, 8, 8, 6, 9, 6, 7, 7, 9, 7, 7, 9, 8, 6, 9, 5]
16: [5.1|7.2|9.1] [7, 6, 8, 9, 5, 5, 9, 6, 8, 7, 8, 8, 7, 9, 8, 8, 7, 9, 6, 8]
6: [5.2|7.3|9.3] [7, 6, 6, 10, 5, 8, 9, 8, 10, 8, 5, 6, 5, 6, 6, 9, 8, 6, 8, 4]
14: [5.2|7.3|9.2] [7, 4, 7, 8, 5, 5, 8, 5, 6, 8, 3, 8, 7, 6, 10, 7, 7, 9, 8, 7]
