30
red1
more
11_8___1__, 18, 0, [-1.4, 0.9, 3.3], [0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 0, 0, 0, 0, 0, 3, 2, 1, 4, 0, 1, 0, 0, 12, 1, 6, 1, 1, 0, 0, 0, 0, 5, 2, 0, 4, 0, 0, 2, 3] (6, 7)
15_9___1__, 18, 0, [-1.6, 0.7, 2.9], [2, 0, 0, 1, 2, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 2, 0, 0, 1, 0, 0, 4, 9, 3, 1, 0, 1, 1, 0, 0, 1, 5, 2, 0, 6, 2] (1, 6)
3_1___1__, 17, 4, [-1.9, 0.5, 2.9], [0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 4, 0, 1, 0, 2, 0, 3, 5, 1, 1, 4, 3, 0, 0, 1, 3, 4, 0, 3, 2, 2, 0, 0] (4, 6)
12_1___1__, 17, 1, [-1.3, 1.4, 3.7], [2, 0, 1, 3, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 5, 0, 1, 0, 0, 1, 0, 3, 1, 5, 1, 4, 3, 0, 0, 0, 0, 2, 2, 2, 0, 6, 2, 1] (3, 6)
13_9___1__, 17, 2, [-1.3, 1.0, 3.3], [1, 0, 1, 2, 0, 0, 1, 1, 1, 0, 0, 1, 2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 12, 1, 1, 3, 0, 1, 1, 0, 0, 1, 5, 3, 3, 0, 1, 2, 1] (2, 6)
1_1___1__, 16, 4, [-1.1, 1.1, 3.4], [2, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 5, 0, 1, 0, 0, 1, 3, 6, 3, 2, 0, 0, 3, 0, 0, 1, 5, 2, 0, 6, 2, 3, 0, 1, 0] (6, 6)
2_6___1__, 16, 4, [-0.8, 1.3, 3.7], [0, 1, 2, 0, 0, 3, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 4, 0, 2, 0, 1, 2, 1, 1, 5, 6, 1, 1, 0, 0, 1, 5, 2, 0, 4, 0, 0, 2, 3, 0] (3, 6)
2_7___1__, 16, 2, [-1.0, 0.8, 2.5], [1, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 2, 1, 0, 0, 1, 4, 0, 0, 1, 0, 4, 1, 7, 4, 1, 1, 1, 0, 0, 1, 3, 1, 2, 0, 4, 1, 2, 3, 0] (4, 6)
2_9___1__, 16, 1, [-0.3, 1.7, 3.7], [0, 1, 0, 1, 2, 1, 0, 1, 0, 1, 0, 0, 2, 1, 1, 1, 4, 0, 1, 0, 11, 1, 1, 1, 3, 0, 3, 0, 0, 1, 1, 1, 1, 2, 0, 3, 0, 1, 2, 3] (3, 6)
5_8___1__, 16, 1, [-1.1, 1.0, 3.0], [2, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 3, 2, 1, 4, 0, 1, 0, 1, 9, 1, 1, 1, 4, 4, 0, 0, 0, 5, 2, 0, 4, 1, 2, 1, 1, 0, 1] (4, 6)
8_7___1__, 16, 0, [-0.9, 1.3, 3.4], [3, 0, 1, 2, 0, 0, 0, 1, 0, 1, 0, 0, 3, 0, 1, 1, 4, 0, 1, 0, 0, 8, 4, 0, 3, 2, 1, 2, 0, 1, 5, 2, 0, 4, 0, 0, 2, 3, 0, 1] (6, 9)
10_8___1__, 16, 1, [-0.6, 1.1, 2.9], [1, 0, 0, 1, 3, 0, 2, 0, 0, 0, 0, 0, 2, 2, 0, 1, 0, 2, 0, 0, 1, 0, 4, 3, 4, 1, 1, 1, 4, 2, 0, 0, 0, 4, 0, 3, 4, 1, 2, 3] (3, 6)
11_9___1__, 16, 2, [-1.5, 0.9, 3.5], [0, 0, 0, 1, 2, 0, 0, 2, 1, 0, 0, 0, 4, 1, 0, 0, 4, 0, 1, 0, 0, 12, 1, 3, 2, 1, 1, 0, 0, 1, 5, 2, 6, 0, 1, 0, 3, 0, 1, 0] (5, 6)
13_8___1__, 16, 2, [-0.9, 1.0, 3.1], [1, 0, 1, 2, 0, 0, 3, 1, 0, 0, 1, 0, 2, 0, 0, 4, 0, 0, 1, 0, 0, 7, 4, 1, 5, 0, 1, 1, 0, 0, 1, 8, 0, 3, 0, 1, 1, 0, 3, 0] (2, 6)
