Date,3_2,7_8,15_7,20_7,23_3,34_2,37_6,41_6,45_9,49_7,2_9,5_9,8_8,13_9,14_9,29_1,33_1,40_9,49_9,7_2
20240107,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1
20240109,1,0,0,1,1,1,1,0,2,0,2,1,0,0,0,2,0,1,1,0
20240111,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,1
20240114,0,0,0,1,0,0,1,1,0,2,0,0,1,1,0,0,1,0,0,1
20240116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
20240118,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0
20240121,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1
20240123,0,2,1,0,2,0,1,1,2,2,0,2,2,2,3,0,1,0,1,0
20240125,0,2,1,0,1,1,0,1,1,0,0,3,0,0,2,0,0,0,0,0
20240128,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1
20240130,0,1,1,1,1,0,1,1,0,1,0,0,2,1,1,0,0,0,0,0
20240201,1,0,0,0,1,2,0,0,1,0,1,0,1,1,1,0,1,2,0,0
20240204,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0
20240206,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
20240218,0,0,0,0,1,0,0,0,0,1,1,1,0,1,2,1,0,1,2,0
20240220,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,1
20240222,2,0,0,2,0,2,1,0,0,0,0,1,1,0,1,1,0,0,0,2
20240225,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,2,2
20240227,1,0,0,1,0,1,2,0,0,0,2,1,0,0,0,0,2,0,0,1
20240229,0,1,0,0,1,1,0,1,1,1,1,1,2,0,0,0,0,1,2,0
20240303,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
20240305,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1,0,1,0,2,1
20240307,1,0,1,0,1,2,0,1,1,1,1,0,0,1,0,1,0,0,0,1
20240310,0,0,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
20240312,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
20240314,1,0,1,1,0,1,1,1,0,0,2,1,1,0,0,0,1,1,0,0
20240317,2,0,0,2,1,1,0,1,2,0,0,0,0,0,1,2,0,1,0,0
20240319,0,1,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,1,0
20240321,1,1,2,1,0,0,1,2,0,1,2,0,1,0,0,1,2,1,1,0
20240324,0,0,2,2,0,1,0,2,1,3,0,0,2,1,1,1,0,1,1,0
20240326,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,2,1,1,0
20240328,1,0,3,0,0,0,2,0,2,1,0,0,0,2,0,0,1,0,0,1
20240331,0,0,0,0,1,1,2,1,0,0,2,1,0,1,0,0,0,0,1,1
