Column,Red1,Red2,Red3,Red4,Red5,Red6,Red7,Red8,Red9,Red10
Red1,0,0,0,0,0,0,0,0,1,1
Red2,0,0,0,0,0,1,1,1,1,0
Red3,1,1,1,0,1,1,1,1,1,1
Red4,1,1,0,1,1,0,0,0,1,1
Red5,0,0,0,0,0,1,0,0,0,1
Red6,0,0,0,0,0,0,0,0,0,0
RedSum16,0,1,0,1,1,1,0,1,1,1
RedGap16,1,0,0,0,1,1,1,1,1,0
RedSum25,0,1,0,0,0,0,0,0,1,0
RedGap25,0,0,0,0,0,0,1,1,1,0
RedSum34,1,0,0,0,0,0,0,0,0,1
RedGap12,1,1,0,1,1,0,1,0,0,1
RedGap23,0,0,0,0,0,0,0,0,0,0
RedGap34,0,0,0,0,0,0,0,0,0,0
RedGap45,0,0,0,0,1,0,1,1,1,1
RedGap56,0,1,1,1,0,1,1,0,0,1
RedSum_,0,1,1,0,1,1,0,0,0,1
