Date,16_7,1_9,17_2,3_9,6_9,10_1,12_6,13_9,16_1,16_6,17_3,1_1,1_7,4_1,4_2,5_9,6_1,6_6,7_1,7_7
20240416,0,0,0,2,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1
20240418,1,1,1,2,1,2,2,0,1,3,1,0,0,1,1,1,1,0,0,1
20240421,0,0,2,0,0,0,0,2,1,0,0,0,3,0,0,1,0,2,1,1
20240423,0,1,1,0,1,2,1,1,0,1,0,1,0,0,1,2,1,0,1,0
20240425,1,0,0,1,0,0,0,0,0,1,0,2,1,1,0,1,0,1,1,2
20240428,1,0,0,2,0,2,0,0,0,0,2,2,1,0,1,0,1,1,0,0
20240430,1,1,0,1,0,0,0,1,1,2,0,0,1,0,0,1,1,1,0,1
20240502,0,0,1,1,2,0,0,1,4,1,0,1,1,1,2,2,1,0,2,0
20240505,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
20240507,1,0,2,1,1,1,0,0,0,1,0,1,0,2,0,0,0,1,1,1
20240509,1,0,1,0,2,1,1,0,1,1,0,1,0,0,0,1,0,2,0,1
20240512,0,0,0,2,0,1,1,0,1,0,1,1,0,0,2,0,0,0,1,2
20240514,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
20240516,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
20240519,0,2,0,1,2,1,1,1,1,0,2,0,1,0,0,2,0,1,1,1
20240521,0,0,0,1,1,0,2,0,0,0,1,0,1,0,0,1,0,0,1,0
20240523,0,1,0,1,0,0,1,2,0,0,1,0,1,0,1,0,1,0,0,0
20240526,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
20240528,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0
20240530,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0
20240602,0,1,1,0,0,1,0,0,2,0,1,0,1,1,1,2,0,0,1,0
20240604,0,0,1,0,1,1,1,1,1,1,0,0,2,0,1,0,1,0,2,1
20240606,1,0,1,2,0,0,0,1,0,1,0,1,0,1,1,2,0,1,1,1
20240609,0,1,0,0,0,0,0,1,2,1,1,0,0,1,0,0,1,0,0,0
20240611,0,1,0,1,1,0,0,0,2,1,1,1,0,1,1,1,1,0,1,0
20240613,0,2,1,1,1,1,2,1,0,0,0,0,1,2,0,0,0,0,0,0
20240616,0,0,0,0,0,1,1,0,0,0,1,0,0,2,1,0,0,2,2,1
20240618,1,2,1,0,0,0,0,2,0,1,0,2,1,1,0,1,1,0,0,1
20240620,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,2,0,3
20240623,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20240625,0,0,0,1,0,2,0,0,1,1,0,0,2,2,1,1,1,1,0,1
20240627,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,1,0,2
20240630,0,0,0,0,1,2,0,0,1,1,2,0,0,0,1,0,1,0,1,0
