3: [4.1|6.2|8.3] [3, 6, 7, 7, 6, 8, 8, 10, 10, 6, 10, 7, 8, 4, 9, 6, 8, 5, 7, 6]
15: [4.4|6.5|8.5] [6, 4, 9, 5, 8, 3, 7, 8, 8, 4, 8, 6, 9, 6, 9, 9, 6, 6, 6, 10]
13: [4.7|6.6|8.4] [6, 5, 9, 8, 3, 7, 5, 8, 8, 8, 7, 7, 8, 7, 9, 6, 9, 7, 6, 7]
16: [4.7|6.6|8.5] [6, 5, 6, 8, 8, 8, 10, 9, 8, 7, 6, 3, 8, 6, 9, 6, 9, 5, 9, 7]
19: [4.6|6.7|8.6] [4, 4, 7, 8, 4, 9, 7, 7, 8, 7, 8, 9, 10, 5, 10, 10, 8, 6, 9, 10]
2: [4.7|6.8|9.2] [6, 5, 9, 7, 10, 8, 6, 7, 6, 4, 9, 7, 9, 7, 7, 6, 8, 6, 10, 9]
5: [4.9|6.8|8.8] [7, 4, 8, 8, 8, 7, 6, 8, 10, 6, 4, 4, 9, 5, 9, 8, 8, 8, 8, 7]
20: [5.0|6.8|8.6] [6, 4, 8, 6, 7, 8, 8, 9, 8, 6, 6, 6, 7, 6, 5, 7, 6, 7, 7, 3]
17: [4.8|6.9|8.9] [9, 5, 7, 9, 7, 8, 8, 10, 9, 7, 7, 6, 10, 6, 8, 7, 6, 9, 10, 8]
1: [5.1|7.0|8.8] [9, 5, 7, 6, 7, 9, 7, 10, 7, 5, 7, 7, 8, 4, 7, 7, 6, 8, 7, 7]
14: [5.1|7.0|8.9] [8, 5, 7, 8, 5, 9, 7, 8, 9, 6, 7, 8, 9, 8, 9, 7, 7, 9, 8, 6]
10: [4.9|7.1|9.3] [7, 5, 6, 6, 7, 9, 5, 8, 8, 4, 6, 9, 9, 7, 9, 8, 9, 9, 8, 9]
9: [5.1|7.1|8.9] [6, 5, 10, 8, 8, 7, 7, 9, 7, 5, 7, 7, 9, 5, 8, 7, 7, 8, 9, 7]
7: [5.3|7.1|8.7] [6, 4, 9, 7, 3, 7, 8, 9, 8, 5, 8, 8, 9, 6, 8, 5, 8, 8, 8, 7]
4: [5.2|7.2|9.2] [8, 2, 8, 7, 5, 8, 7, 9, 9, 6, 9, 8, 8, 5, 8, 4, 10, 5, 8, 6]
12: [5.3|7.2|9.0] [7, 8, 8, 7, 7, 7, 7, 10, 9, 6, 7, 7, 10, 6, 9, 8, 10, 9, 7, 8]
18: [5.0|7.3|9.2] [8, 7, 8, 8, 4, 6, 9, 10, 9, 8, 9, 7, 8, 5, 7, 9, 8, 7, 10, 8]
11: [5.1|7.4|9.9] [4, 4, 8, 9, 7, 3, 9, 10, 9, 6, 10, 9, 10, 6, 7, 7, 8, 8, 9, 7]
8: [5.6|7.4|9.2] [5, 8, 10, 7, 9, 9, 8, 7, 10, 5, 9, 7, 8, 8, 6, 9, 8, 6, 9, 7]
6: [5.8|7.8|9.8] [7, 4, 8, 6, 6, 7, 10, 9, 8, 6, 8, 9, 9, 7, 10, 9, 7, 7, 8, 7]
