6: [4.4|6.4|8.3] [6, 9, 6, 8, 8, 4, 7, 7, 5, 8, 5, 6, 9, 7, 9, 3, 6, 5, 7, 7]
16: [4.4|6.5|8.4] [7, 8, 9, 8, 4, 7, 8, 9, 8, 8, 8, 9, 7, 7, 8, 9, 10, 6, 7, 6]
11: [4.8|6.6|8.3] [7, 7, 6, 5, 8, 9, 5, 6, 5, 7, 5, 9, 6, 7, 9, 7, 10, 6, 9, 4]
17: [4.7|6.8|8.9] [10, 9, 5, 9, 6, 6, 8, 8, 5, 8, 7, 7, 9, 6, 8, 8, 7, 4, 7, 7]
20: [5.0|6.9|8.6] [8, 8, 6, 7, 6, 6, 7, 6, 8, 6, 7, 6, 9, 8, 7, 9, 10, 5, 8, 7]
7: [4.8|7.0|9.2] [6, 9, 7, 8, 7, 8, 8, 9, 6, 9, 6, 4, 9, 5, 8, 8, 10, 8, 8, 8]
10: [5.0|7.1|9.1] [6, 6, 7, 7, 6, 8, 9, 8, 5, 8, 8, 9, 8, 6, 6, 9, 9, 4, 9, 5]
13: [5.2|7.2|9.4] [7, 7, 7, 7, 7, 5, 7, 9, 6, 6, 4, 8, 7, 8, 7, 9, 7, 3, 8, 8]
14: [5.1|7.3|9.7] [8, 7, 9, 8, 7, 4, 7, 8, 4, 8, 7, 9, 10, 7, 6, 9, 9, 3, 9, 7]
5: [5.3|7.3|9.3] [6, 7, 8, 6, 6, 7, 8, 9, 5, 8, 7, 8, 7, 6, 4, 6, 7, 5, 6, 6]
12: [5.4|7.3|9.3] [9, 6, 7, 8, 5, 4, 9, 5, 4, 9, 7, 10, 8, 8, 7, 9, 8, 5, 7, 8]
15: [5.5|7.3|9.1] [6, 7, 7, 7, 6, 4, 7, 7, 7, 9, 7, 7, 10, 6, 7, 6, 7, 6, 9, 6]
2: [5.2|7.5|9.7] [8, 4, 9, 9, 8, 5, 9, 6, 7, 8, 3, 8, 10, 9, 8, 8, 8, 6, 7, 5]
3: [5.6|7.6|9.5] [7, 8, 8, 7, 5, 6, 6, 8, 5, 9, 7, 7, 10, 8, 9, 9, 9, 8, 5, 6]
18: [5.6|7.6|9.5] [8, 9, 6, 8, 6, 5, 7, 6, 6, 9, 8, 9, 6, 9, 7, 5, 7, 8, 8, 6]
19: [5.9|7.7|9.6] [6, 8, 9, 7, 4, 6, 9, 7, 7, 7, 7, 7, 8, 7, 9, 7, 6, 8, 9, 8]
9: [6.0|7.9|9.7] [7, 8, 5, 9, 7, 8, 9, 6, 5, 9, 8, 8, 9, 9, 5, 7, 6, 6, 8, 6]
1: [6.0|8.0|10.0] [7, 10, 7, 10, 6, 10, 10, 8, 5, 8, 5, 9, 9, 9, 8, 7, 6, 5, 9, 7]
4: [6.1|8.0|10.0] [7, 7, 8, 7, 7, 7, 8, 8, 8, 8, 6, 9, 10, 8, 6, 4, 7, 5, 6, 7]
8: [6.1|8.0|10.0] [9, 8, 7, 7, 8, 6, 8, 7, 6, 8, 6, 10, 7, 6, 9, 7, 7, 7, 10, 7]
